hour,updated_type,updated_subtype,longitude,latitude,alert_count
03:00,Hazard,Weather,-87.67,41.87,4
03:00,Hazard,Weather,-87.65,41.84,4
03:00,Hazard,Weather,-87.65,41.88,4
03:00,Jam,Heavy Traffic,-87.66,41.89,168
03:00,Jam,Heavy Traffic,-87.67,41.9,129
03:00,Jam,Heavy Traffic,-87.65,41.87,104
03:00,Jam,Heavy Traffic,-87.65,41.88,71
03:00,Jam,Heavy Traffic,-87.67,41.91,49
03:00,Jam,Heavy Traffic,-87.65,41.86,38
03:00,Jam,Heavy Traffic,-87.65,41.85,36
03:00,Jam,Heavy Traffic,-87.65,41.89,26
03:00,Jam,Heavy Traffic,-87.69,41.92,24
03:00,Jam,Heavy Traffic,-87.68,41.91,24
03:00,Jam,Moderate Traffic,-87.77,41.87,4
03:00,Jam,Moderate Traffic,-87.66,41.89,3
03:00,Jam,Moderate Traffic,-87.8,41.98,2
03:00,Jam,Moderate Traffic,-87.76,41.87,2
03:00,Jam,Moderate Traffic,-87.74,41.95,2
03:00,Jam,Moderate Traffic,-87.69,41.94,2
03:00,Jam,Moderate Traffic,-87.67,41.91,2
03:00,Jam,Moderate Traffic,-87.66,41.87,2
03:00,Jam,Moderate Traffic,-87.65,41.94,2
03:00,Jam,Moderate Traffic,-87.82,41.98,1
03:00,Jam,Stand Still Traffic,-87.66,41.89,116
03:00,Jam,Stand Still Traffic,-87.65,41.87,71
03:00,Jam,Stand Still Traffic,-87.67,41.9,68
03:00,Jam,Stand Still Traffic,-87.65,41.88,67
03:00,Jam,Stand Still Traffic,-87.62,41.89,53
03:00,Jam,Stand Still Traffic,-87.62,41.87,32
03:00,Jam,Stand Still Traffic,-87.65,41.86,30
03:00,Jam,Stand Still Traffic,-87.65,41.89,30
03:00,Jam,Stand Still Traffic,-87.62,41.88,26
03:00,Jam,Stand Still Traffic,-87.67,41.91,25
03:00,Jam,Unclassified,-87.66,41.89,43
03:00,Jam,Unclassified,-87.65,41.87,29
03:00,Jam,Unclassified,-87.65,41.88,28
03:00,Jam,Unclassified,-87.62,41.89,25
03:00,Jam,Unclassified,-87.67,41.9,24
03:00,Jam,Unclassified,-87.67,41.91,21
03:00,Jam,Unclassified,-87.65,41.86,18
03:00,Jam,Unclassified,-87.77,41.87,16
03:00,Jam,Unclassified,-87.78,41.87,12
03:00,Jam,Unclassified,-87.62,41.86,12
03:00,Road Closed,Construction,-87.65,41.88,3
03:00,Road Closed,Construction,-87.66,41.94,1
03:00,Road Closed,Event,-87.75,41.96,564
